,Year,Rank,Team,Winning rate
0,2002,1,»ï¼º,0.636
1,2002,2,LG,0.520
2,2002,3,KIA,0.605
3,2002,4,Çö´ë,0.547
4,2002,5,µÎ»ê,0.504
5,2002,6,SK,0.469
6,2002,7,ÇÑÈ­,0.461
7,2002,8,·Ôµ¥,0.265
8,2003,1,Çö´ë,0.611
9,2003,2,SK,0.508
10,2003,3,KIA,0.609
11,2003,4,»ï¼º,0.589
12,2003,5,ÇÑÈ­,0.492
13,2003,6,LG,0.458
14,2003,7,µÎ»ê,0.435
15,2003,8,·Ôµ¥,0.300
16,2004,1,Çö´ë,0.586
17,2004,2,»ï¼º,0.584
18,2004,3,µÎ»ê,0.530
19,2004,4,KIA,0.523
20,2004,5,SK,0.488
21,2004,6,LG,0.457
22,2004,7,ÇÑÈ­,0.417
23,2004,8,·Ôµ¥,0.410
24,2005,1,»ï¼º,0.607
25,2005,2,µÎ»ê,0.585
26,2005,3,SK,0.583
27,2005,4,ÇÑÈ­,0.512
28,2005,5,·Ôµ¥,0.464
29,2005,6,LG,0.432
30,2005,7,Çö´ë,0.431
31,2005,8,KIA,0.392
32,2006,1,»ï¼º,0.593
33,2006,2,ÇÑÈ­,0.540
34,2006,3,Çö´ë,0.560
35,2006,4,KIA,0.520
36,2006,5,µÎ»ê,0.512
37,2006,6,SK,0.480
38,2006,7,·Ôµ¥,0.407
39,2006,8,LG,0.385
40,2007,1,SK,0.603
41,2007,2,µÎ»ê,0.565
42,2007,3,ÇÑÈ­,0.540
43,2007,4,»ï¼º,0.508
44,2007,5,LG,0.483
45,2007,6,Çö´ë,0.448
46,2007,7,·Ôµ¥,0.447
47,2007,8,KIA,0.408
48,2008,1,SK,0.659
49,2008,2,µÎ»ê,0.556
50,2008,3,·Ôµ¥,0.548
51,2008,4,»ï¼º,0.516
52,2008,5,ÇÑÈ­,0.508
53,2008,6,KIA,0.452
54,2008,7,³Ø¼¾,0.397
55,2008,8,LG,0.365
56,2009,1,KIA,0.609
57,2009,2,SK,0.602
58,2009,3,µÎ»ê,0.534
59,2009,4,·Ôµ¥,0.496
60,2009,5,»ï¼º,0.481
61,2009,6,³Ø¼¾,0.451
62,2009,7,LG,0.406
63,2009,8,ÇÑÈ­,0.346
64,2010,1,SK,0.632
65,2010,2,»ï¼º,0.594
66,2010,3,µÎ»ê,0.549
67,2010,4,·Ôµ¥,0.519
68,2010,5,KIA,0.444
69,2010,6,LG,0.429
70,2010,7,³Ø¼¾,0.391
71,2010,8,ÇÑÈ­,0.368
72,2011,1,»ï¼º,0.612
73,2011,2,SK,0.546
74,2011,3,·Ôµ¥,0.563
75,2011,4,KIA,0.526
76,2011,5,µÎ»ê,0.466
77,2011,6,LG,0.450
78,2011,6,ÇÑÈ­,0.450
79,2011,8,³Ø¼¾,0.389
80,2012,1,»ï¼º,0.611
81,2012,2,SK,0.546
82,2012,3,µÎ»ê,0.523
83,2012,4,·Ôµ¥,0.512
84,2012,5,KIA,0.488
85,2012,6,³Ø¼¾,0.469
86,2012,7,LG,0.442
87,2012,8,ÇÑÈ­,0.408
88,2013,1,»ï¼º,0.595
89,2013,2,µÎ»ê,0.568
90,2013,3,LG,0.578
91,2013,4,³Ø¼¾,0.571
92,2013,5,·Ôµ¥,0.532
93,2013,6,SK,0.496
94,2013,7,NC,0.419
95,2013,8,KIA,0.408
96,2013,9,ÇÑÈ­,0.331
97,2014,1,»ï¼º,0.624
